symbol,timeframe,ts,open,high,low,close,volume
ETH-USD,1h,1712286000,3269.35,3311.45,3265.86,3309.16,2361.50252087
ETH-USD,1h,1712289600,3309.29,3319.93,3277.22,3297.31,1838.08929323
ETH-USD,1h,1712293200,3297.21,3298.64,3243.87,3275.16,3516.06307197
ETH-USD,1h,1712296800,3275.24,3292.51,3270.7,3289.09,2066.4565238
ETH-USD,1h,1712300400,3288.89,3292.51,3274.07,3287.59,1340.92666592
ETH-USD,1h,1712304000,3287.44,3313.1,3277.82,3285.02,2804.97405278
ETH-USD,1h,1712307600,3284.94,3285.26,3253.01,3277.78,3472.58924021
ETH-USD,1h,1712311200,3277.77,3284.64,3255.53,3276.58,1877.24317753
ETH-USD,1h,1712314800,3276.69,3280.16,3237.26,3244.35,2281.57571394
ETH-USD,1h,1712318400,3244.36,3266.82,3210.99,3263.27,9092.71644655
ETH-USD,1h,1712322000,3263.3,3291.37,3235.65,3284.77,4571.87214351
ETH-USD,1h,1712325600,3284.57,3332.18,3277.72,3320.61,7242.54436654
ETH-USD,1h,1712329200,3320.45,3331.6,3303.47,3328.71,3847.34296939
ETH-USD,1h,1712332800,3328.34,3336.21,3313.34,3321.76,5487.29185458
ETH-USD,1h,1712336400,3321.76,3331.39,3308.75,3313.92,3125.24725097
ETH-USD,1h,1712340000,3313.65,3336.34,3306.21,3327.83,2585.55898344
ETH-USD,1h,1712343600,3327.57,3348.33,3319.66,3320.07,5203.64609138
ETH-USD,1h,1712347200,3320.11,3346.48,3318.02,3335.72,2844.47003885
ETH-USD,1h,1712350800,3335.69,3344.32,3322.08,3322.39,1371.72107295
ETH-USD,1h,1712354400,3322.34,3329.48,3308.66,3316.34,1603.77660341
ETH-USD,1h,1712358000,3316.38,3330.56,3315.42,3319.26,1604.11626974
ETH-USD,1h,1712361600,3319.1,3339.92,3312.71,3325.46,2709.19059245
ETH-USD,1h,1712365200,3325.56,3333.36,3315.25,3319.54,1390.27174939
ETH-USD,1h,1712368800,3319.56,3328.28,3308.7,3323.41,2005.77741981
ETH-USD,1h,1712372400,3323.41,3347.55,3323.33,3332.36,1728.68838402
ETH-USD,1h,1712376000,3332.26,3339.53,3322.5,3330.87,1130.9261242
ETH-USD,1h,1712379600,3330.87,3353.83,3328.16,3338.05,1686.4505715
ETH-USD,1h,1712383200,3338.01,3348.12,3333.34,3343.86,684.93584026
ETH-USD,1h,1712386800,3343.85,3344.68,3329.14,3331.58,791.54221874
ETH-USD,1h,1712390400,3330.88,3345.55,3326.43,3341.64,1030.20813254
ETH-USD,1h,1712394000,3341.67,3353.18,3332.0,3334.5,768.00088314
ETH-USD,1h,1712397600,3334.49,3343.6,3331.96,3340.01,535.98027465
ETH-USD,1h,1712401200,3340.29,3347.56,3329.77,3331.96,1048.90021818
ETH-USD,1h,1712404800,3331.17,3337.9,3321.75,3334.29,759.81050738
ETH-USD,1h,1712408400,3334.28,3334.28,3315.21,3319.82,1494.1885938
ETH-USD,1h,1712412000,3319.82,3340.0,3317.49,3335.9,1186.97968177
ETH-USD,1h,1712415600,3335.77,3361.82,3333.29,3336.21,2597.39529606
ETH-USD,1h,1712419200,3336.29,3341.5,3331.86,3341.0,1277.65449692
ETH-USD,1h,1712422800,3341.08,3355.57,3333.49,3342.32,2364.17128683
ETH-USD,1h,1712426400,3342.45,3349.0,3337.88,3347.85,1624.22170559
ETH-USD,1h,1712430000,3347.75,3358.67,3342.81,3350.0,1868.73561869
ETH-USD,1h,1712433600,3349.87,3365.64,3343.63,3362.2,1666.39840786
ETH-USD,1h,1712437200,3362.2,3369.14,3350.7,3353.23,1236.04123652
ETH-USD,1h,1712440800,3353.22,3379.88,3352.82,3378.65,1813.81709602
ETH-USD,1h,1712444400,3377.87,3398.8,3351.59,3352.66,2389.67663725
ETH-USD,1h,1712448000,3352.87,3361.51,3345.36,3359.09,1012.08091357
ETH-USD,1h,1712451600,3359.08,3399.0,3358.16,3389.84,2142.47666132
ETH-USD,1h,1712455200,3389.84,3413.6,3380.82,3384.88,2752.80383077
ETH-USD,1h,1712458800,3384.85,3394.69,3380.22,3389.17,1362.44361973
ETH-USD,1h,1712462400,3389.75,3394.76,3376.3,3386.5,1208.17322186
ETH-USD,1h,1712466000,3386.63,3407.8,3384.94,3401.42,1131.39454596
ETH-USD,1h,1712469600,3401.38,3402.13,3382.51,3386.5,778.03672437
ETH-USD,1h,1712473200,3386.5,3396.0,3385.02,3386.98,626.48552326
ETH-USD,1h,1712476800,3386.73,3396.81,3385.33,3393.61,727.17078073
ETH-USD,1h,1712480400,3393.61,3395.36,3377.86,3384.84,815.47845798
ETH-USD,1h,1712484000,3384.79,3394.5,3377.92,3393.4,961.13213438
ETH-USD,1h,1712487600,3393.49,3394.95,3384.88,3391.16,798.73309033
ETH-USD,1h,1712491200,3391.16,3408.1,3385.17,3402.05,1113.37651642
ETH-USD,1h,1712494800,3401.44,3420.79,3397.8,3407.17,1990.27725689
ETH-USD,1h,1712498400,3407.02,3414.95,3395.22,3408.23,2121.15294776
ETH-USD,1h,1712502000,3408.22,3417.5,3386.57,3390.57,2884.10743127
ETH-USD,1h,1712505600,3391.12,3412.97,3388.24,3395.89,2530.36534248
ETH-USD,1h,1712509200,3395.8,3397.96,3377.1,3386.61,2080.49323749
ETH-USD,1h,1712512800,3386.52,3388.49,3369.06,3382.81,2108.08438038
ETH-USD,1h,1712516400,3382.82,3392.86,3373.17,3381.95,1807.52525815
ETH-USD,1h,1712520000,3380.81,3403.66,3378.4,3402.17,1571.52046925
ETH-USD,1h,1712523600,3401.92,3412.95,3397.74,3399.82,2130.92326488
ETH-USD,1h,1712527200,3399.82,3429.93,3395.1,3421.51,2898.44103552
ETH-USD,1h,1712530800,3421.37,3459.52,3420.09,3453.67,3089.90794887
ETH-USD,1h,1712534400,3453.69,3457.02,3423.49,3429.02,2845.81971156
ETH-USD,1h,1712538000,3429.02,3440.57,3420.01,3424.88,1883.52538086
ETH-USD,1h,1712541600,3424.81,3437.73,3417.88,3424.72,1635.35984963
ETH-USD,1h,1712545200,3424.86,3425.98,3406.93,3423.3,1077.603305
ETH-USD,1h,1712548800,3423.3,3427.52,3411.75,3420.03,1033.31054865
ETH-USD,1h,1712552400,3420.23,3432.93,3420.18,3428.76,829.76242711
ETH-USD,1h,1712556000,3428.76,3432.45,3421.13,3431.44,851.46969382
ETH-USD,1h,1712559600,3431.6,3477.62,3430.25,3473.65,2481.16022983
ETH-USD,1h,1712563200,3474.22,3610.35,3468.89,3595.72,12491.69052255
ETH-USD,1h,1712566800,3595.97,3623.97,3584.79,3618.02,5026.53249142
ETH-USD,1h,1712570400,3618.06,3631.87,3606.54,3618.69,3054.07149036
ETH-USD,1h,1712574000,3617.77,3640.06,3611.13,3631.23,2800.95878198
ETH-USD,1h,1712577600,3631.23,3667.72,3631.23,3642.43,7661.69315617
ETH-USD,1h,1712581200,3642.92,3671.07,3607.86,3627.59,12546.39660398
ETH-USD,1h,1712584800,3627.5,3648.72,3615.17,3644.25,10364.95821876
ETH-USD,1h,1712588400,3644.43,3651.07,3622.0,3629.04,6119.24426002
ETH-USD,1h,1712592000,3629.51,3664.9,3626.64,3658.82,6553.22878929
ETH-USD,1h,1712595600,3658.88,3675.58,3640.26,3668.67,6589.78265146
ETH-USD,1h,1712599200,3668.93,3713.55,3668.7,3692.15,10225.5105834
ETH-USD,1h,1712602800,3692.28,3705.01,3681.1,3702.47,5871.59368948
ETH-USD,1h,1712606400,3703.02,3708.16,3680.9,3689.17,6255.7666968
ETH-USD,1h,1712610000,3689.37,3697.07,3681.94,3685.54,2170.75703331
ETH-USD,1h,1712613600,3685.51,3728.0,3682.07,3721.47,3395.4670816
ETH-USD,1h,1712617200,3720.88,3729.16,3689.62,3694.56,3814.66077711
ETH-USD,1h,1712620800,3694.26,3724.94,3687.49,3694.19,3154.76257196
ETH-USD,1h,1712624400,3694.41,3697.18,3665.86,3679.81,4835.14881436
ETH-USD,1h,1712628000,3680.05,3726.79,3674.95,3706.24,5096.26432296
ETH-USD,1h,1712631600,3706.66,3716.93,3683.35,3692.56,3801.96103142
ETH-USD,1h,1712635200,3692.4,3702.05,3673.52,3696.23,2018.63432684
ETH-USD,1h,1712638800,3696.05,3701.16,3681.3,3692.38,2726.72177263
ETH-USD,1h,1712642400,3692.5,3696.98,3632.34,3644.11,5453.51021433
ETH-USD,1h,1712646000,3644.22,3659.27,3633.75,3643.56,3400.6549346
ETH-USD,1h,1712649600,3643.56,3643.56,3581.43,3630.48,7412.67413486
ETH-USD,1h,1712653200,3629.74,3648.02,3617.43,3630.75,2399.96597867
ETH-USD,1h,1712656800,3630.27,3639.53,3614.25,3628.36,2215.53032261
ETH-USD,1h,1712660400,3628.41,3643.66,3623.91,3632.79,2611.22496806
ETH-USD,1h,1712664000,3632.82,3643.24,3620.72,3630.09,3083.60082168
ETH-USD,1h,1712667600,3630.12,3639.0,3591.12,3592.56,5766.45640704
ETH-USD,1h,1712671200,3592.73,3612.16,3492.8,3522.13,14199.51362469
ETH-USD,1h,1712674800,3521.88,3531.11,3478.53,3528.89,7782.0328352
ETH-USD,1h,1712678400,3528.79,3532.13,3494.65,3495.52,4815.48037824
ETH-USD,1h,1712682000,3495.52,3506.78,3450.6,3502.32,7272.27348585
ETH-USD,1h,1712685600,3502.52,3511.18,3495.71,3503.94,3203.98573271
ETH-USD,1h,1712689200,3504.07,3522.87,3492.01,3515.04,3001.41770847
ETH-USD,1h,1712692800,3515.08,3524.6,3510.16,3512.91,3038.93376755
ETH-USD,1h,1712696400,3512.9,3514.35,3493.82,3507.31,3115.87127634
ETH-USD,1h,1712700000,3507.24,3520.14,3500.51,3517.13,1682.43489418
ETH-USD,1h,1712703600,3517.01,3517.12,3484.26,3504.58,2206.611084
ETH-USD,1h,1712707200,3504.24,3519.35,3496.7,3505.16,1843.49073974
ETH-USD,1h,1712710800,3505.17,3515.79,3472.79,3514.25,3442.91167367
ETH-USD,1h,1712714400,3514.23,3536.17,3465.4,3477.01,4502.73335939
ETH-USD,1h,1712718000,3477.01,3514.19,3473.04,3512.47,2242.01986671
ETH-USD,1h,1712721600,3511.78,3523.91,3504.95,3515.61,1267.56122206
ETH-USD,1h,1712725200,3515.91,3540.7,3514.31,3532.46,1591.17305074
ETH-USD,1h,1712728800,3532.5,3553.71,3529.36,3538.04,1046.47257546
ETH-USD,1h,1712732400,3537.76,3549.12,3533.46,3535.67,837.38186975
ETH-USD,1h,1712736000,3535.69,3535.81,3500.9,3517.81,2140.9192382
ETH-USD,1h,1712739600,3517.23,3536.42,3506.44,3531.67,4677.57906322
ETH-USD,1h,1712743200,3531.66,3541.1,3493.25,3519.08,3056.11974381
ETH-USD,1h,1712746800,3519.03,3526.37,3512.68,3521.21,1661.58297865
ETH-USD,1h,1712750400,3521.03,3528.72,3411.59,3437.86,12958.71057595
ETH-USD,1h,1712754000,3437.74,3462.31,3414.0,3459.85,5522.22545092
ETH-USD,1h,1712757600,3459.83,3502.98,3444.62,3485.87,5156.11589731
ETH-USD,1h,1712761200,3485.92,3489.29,3461.62,3478.81,2920.99579089
ETH-USD,1h,1712764800,3478.82,3533.13,3468.86,3528.03,3609.52945714
ETH-USD,1h,1712768400,3527.51,3547.26,3511.07,3518.65,3570.72513727
ETH-USD,1h,1712772000,3517.58,3520.52,3479.0,3495.03,3471.65007368
ETH-USD,1h,1712775600,3495.13,3523.57,3488.48,3521.64,2954.14977637
ETH-USD,1h,1712779200,3522.04,3529.68,3510.84,3513.46,2619.22966025
ETH-USD,1h,1712782800,3513.42,3517.59,3494.92,3513.2,3762.57678886
ETH-USD,1h,1712786400,3513.21,3562.51,3511.01,3538.58,6538.92154085
ETH-USD,1h,1712790000,3538.73,3547.91,3532.36,3546.0,2077.99232743
ETH-USD,1h,1712793600,3546.07,3548.13,3526.86,3533.6,2192.84854384
ETH-USD,1h,1712797200,3533.8,3543.18,3524.56,3530.79,1989.22201256
ETH-USD,1h,1712800800,3531.06,3577.16,3527.35,3566.38,2958.08364879
ETH-USD,1h,1712804400,3566.37,3576.89,3556.12,3576.63,5182.43278672
ETH-USD,1h,1712808000,3576.79,3582.97,3553.19,3561.79,1960.79130916
ETH-USD,1h,1712811600,3561.78,3569.95,3555.9,3563.91,1215.44299776
ETH-USD,1h,1712815200,3563.74,3587.26,3562.4,3575.65,1624.1415461
ETH-USD,1h,1712818800,3575.64,3605.35,3575.38,3583.38,1994.21092957
ETH-USD,1h,1712822400,3583.64,3617.97,3578.5,3607.04,2352.50890923
