symbol,timeframe,ts,open,high,low,close,volume
BTC-USD,1h,1712286000,67635.79,68065.53,67595.52,67895.37,467.01304367
BTC-USD,1h,1712289600,67892.0,68061.28,67466.51,67673.19,296.76938517
BTC-USD,1h,1712293200,67673.63,67779.04,66415.21,66926.23,975.18440681
BTC-USD,1h,1712296800,66923.69,67189.99,66787.78,67164.49,348.5396737
BTC-USD,1h,1712300400,67164.2,67165.52,66822.67,66927.39,236.63764591
BTC-USD,1h,1712304000,66927.39,67680.4,66911.39,67148.44,358.40312523
BTC-USD,1h,1712307600,67146.99,67146.99,66379.4,66813.02,505.60100171
BTC-USD,1h,1712311200,66811.78,67207.47,66711.77,67043.84,270.31334454
BTC-USD,1h,1712314800,67042.0,67094.68,66401.01,66483.05,317.0045806
BTC-USD,1h,1712318400,66502.54,66926.45,66000.0,66909.78,1396.69338599
BTC-USD,1h,1712322000,66909.78,67634.58,66540.85,67526.11,1256.91793715
BTC-USD,1h,1712325600,67521.34,68637.0,67354.83,68190.0,1801.12089342
BTC-USD,1h,1712329200,68190.0,68303.11,67665.89,68245.63,705.98810862
BTC-USD,1h,1712332800,68245.0,68432.06,67724.05,67993.15,554.33332942
BTC-USD,1h,1712336400,67993.14,68033.45,67362.12,67459.51,520.24917261
BTC-USD,1h,1712340000,67461.37,67736.37,67274.59,67637.67,626.07942085
BTC-USD,1h,1712343600,67636.01,68113.72,67356.55,67368.16,2299.12974302
BTC-USD,1h,1712347200,67375.18,67798.22,67308.0,67663.47,732.83880652
BTC-USD,1h,1712350800,67663.49,67868.21,67515.02,67515.24,223.86488128
BTC-USD,1h,1712354400,67516.0,67871.93,67510.01,67655.42,157.19879719
BTC-USD,1h,1712358000,67655.41,68000.0,67641.68,67856.51,234.10075327
BTC-USD,1h,1712361600,67856.51,68100.0,67719.57,67950.71,205.37752447
BTC-USD,1h,1712365200,67950.69,68022.97,67691.43,67731.19,143.59164437
BTC-USD,1h,1712368800,67732.88,67812.34,67469.19,67608.32,190.87141987
BTC-USD,1h,1712372400,67608.38,67917.07,67608.37,67823.58,117.87818995
BTC-USD,1h,1712376000,67821.04,67850.01,67638.5,67781.09,90.65132945
BTC-USD,1h,1712379600,67781.08,68258.84,67748.32,68061.5,233.20723026
BTC-USD,1h,1712383200,68061.5,68196.64,67897.34,68141.71,117.14133073
BTC-USD,1h,1712386800,68141.71,68215.78,67963.72,68027.22,107.52040873
BTC-USD,1h,1712390400,68029.03,68148.58,67889.36,68039.2,127.19949375
BTC-USD,1h,1712394000,68038.03,68153.17,67800.0,67824.1,116.94005995
BTC-USD,1h,1712397600,67827.8,67918.84,67748.45,67869.96,69.27288856
BTC-USD,1h,1712401200,67869.97,67938.41,67638.14,67692.35,89.44976679
BTC-USD,1h,1712404800,67689.01,67820.13,67614.01,67771.01,75.4829394
BTC-USD,1h,1712408400,67771.01,67780.04,67565.9,67730.01,101.69130006
BTC-USD,1h,1712412000,67731.85,68102.66,67710.12,68020.12,133.06720582
BTC-USD,1h,1712415600,68020.12,68318.41,67913.28,68126.09,200.20076569
