symbol,timeframe,ts,open,high,low,close,volume
DOGE-USD,1h,1712286000,0.17529,0.17737,0.17498,0.17696,28710673.5
DOGE-USD,1h,1712289600,0.17686,0.17735,0.17365,0.17427,20512817.7
DOGE-USD,1h,1712293200,0.1742,0.17496,0.17135,0.17334,54413215.3
DOGE-USD,1h,1712296800,0.17328,0.17455,0.17276,0.17397,13091079.5
DOGE-USD,1h,1712300400,0.17393,0.17455,0.1721,0.1742,17442130.5
DOGE-USD,1h,1712304000,0.1742,0.17648,0.17331,0.17356,26091822.8
DOGE-USD,1h,1712307600,0.17352,0.17361,0.1683,0.17174,67217886.8
DOGE-USD,1h,1712311200,0.17172,0.17244,0.1698,0.17237,24540152.5
DOGE-USD,1h,1712314800,0.17238,0.17263,0.16859,0.16916,30422523.7
DOGE-USD,1h,1712318400,0.16903,0.17218,0.16755,0.17194,62724359.2
DOGE-USD,1h,1712322000,0.172,0.17506,0.16968,0.17379,58813448.9
DOGE-USD,1h,1712325600,0.17379,0.17641,0.17253,0.17501,45529024.6
DOGE-USD,1h,1712329200,0.17499,0.17695,0.17362,0.17659,27890579.7
DOGE-USD,1h,1712332800,0.17653,0.17737,0.17476,0.17579,29431688.1
DOGE-USD,1h,1712336400,0.17579,0.17593,0.17396,0.17445,20182621.9
DOGE-USD,1h,1712340000,0.17443,0.17708,0.17388,0.17652,29974003.7
DOGE-USD,1h,1712343600,0.17656,0.17918,0.1765,0.17673,39920492.4
DOGE-USD,1h,1712347200,0.17665,0.17994,0.17663,0.17874,27851909.5
DOGE-USD,1h,1712350800,0.17874,0.17928,0.1773,0.1773,11385740.1
DOGE-USD,1h,1712354400,0.17729,0.17845,0.17695,0.17738,10986670.7
DOGE-USD,1h,1712358000,0.17734,0.17834,0.177,0.17729,9760605.8
DOGE-USD,1h,1712361600,0.17728,0.18049,0.17649,0.17941,25384834.0
DOGE-USD,1h,1712365200,0.17939,0.18046,0.17819,0.17864,15014953.2
DOGE-USD,1h,1712368800,0.1786,0.18054,0.17716,0.18027,18145427.8
DOGE-USD,1h,1712372400,0.18025,0.18197,0.1793,0.1809,28713244.2
DOGE-USD,1h,1712376000,0.18087,0.18204,0.18022,0.18088,18685196.4
DOGE-USD,1h,1712379600,0.18093,0.18264,0.18051,0.18212,20263350.3
DOGE-USD,1h,1712383200,0.18212,0.18501,0.18123,0.18432,32064855.9
DOGE-USD,1h,1712386800,0.18428,0.1856,0.18258,0.18449,23319338.2
DOGE-USD,1h,1712390400,0.18445,0.1854,0.18382,0.18502,20330507.7
DOGE-USD,1h,1712394000,0.18502,0.18608,0.18262,0.18282,25539514.6
DOGE-USD,1h,1712397600,0.18283,0.18361,0.18219,0.18303,23673938.7
DOGE-USD,1h,1712401200,0.18308,0.18436,0.18227,0.18267,19292409.0
DOGE-USD,1h,1712404800,0.18265,0.18324,0.1811,0.18203,15887027.3
DOGE-USD,1h,1712408400,0.18201,0.18201,0.1801,0.18049,22805087.4
DOGE-USD,1h,1712412000,0.18049,0.18234,0.18023,0.18225,26915774.9
DOGE-USD,1h,1712415600,0.18224,0.1837,0.1814,0.18344,15690117.0
DOGE-USD,1h,1712419200,0.18338,0.18398,0.18239,0.18359,17322350.2
DOGE-USD,1h,1712422800,0.18364,0.18497,0.18298,0.18349,21308401.6
DOGE-USD,1h,1712426400,0.18346,0.18366,0.18207,0.18266,8541966.4
DOGE-USD,1h,1712430000,0.18261,0.18368,0.18221,0.18304,16672220.4
DOGE-USD,1h,1712433600,0.18302,0.18547,0.1823,0.18517,20841472.4
DOGE-USD,1h,1712437200,0.18522,0.18634,0.18368,0.18374,20155416.1
DOGE-USD,1h,1712440800,0.18374,0.18666,0.18364,0.18648,30073305.2
DOGE-USD,1h,1712444400,0.18645,0.18787,0.1853,0.18581,34287245.4
DOGE-USD,1h,1712448000,0.18577,0.19346,0.18547,0.19236,71464277.6
DOGE-USD,1h,1712451600,0.19223,0.1956,0.19077,0.19468,51687420.2
DOGE-USD,1h,1712455200,0.1947,0.19868,0.19418,0.19614,61594285.2
DOGE-USD,1h,1712458800,0.19614,0.19737,0.19456,0.19575,39226318.3
DOGE-USD,1h,1712462400,0.19574,0.19805,0.19567,0.1972,41650072.8
DOGE-USD,1h,1712466000,0.19717,0.1978,0.19589,0.19711,18296049.6
DOGE-USD,1h,1712469600,0.19703,0.1973,0.19307,0.19371,31771856.1
DOGE-USD,1h,1712473200,0.19369,0.19531,0.19352,0.19526,16845700.1
DOGE-USD,1h,1712476800,0.19528,0.19584,0.19411,0.19522,10372323.4
DOGE-USD,1h,1712480400,0.19515,0.19547,0.1927,0.19412,25463681.9
DOGE-USD,1h,1712484000,0.19411,0.19767,0.19382,0.19688,21730185.4
DOGE-USD,1h,1712487600,0.19682,0.19854,0.19615,0.19838,23471021.8
DOGE-USD,1h,1712491200,0.19836,0.19885,0.19643,0.19685,16470564.8
DOGE-USD,1h,1712494800,0.19678,0.1997,0.1966,0.19921,24724829.3
DOGE-USD,1h,1712498400,0.19927,0.20462,0.19818,0.20228,69868676.0
DOGE-USD,1h,1712502000,0.20222,0.20529,0.19909,0.20003,68627054.4
DOGE-USD,1h,1712505600,0.20008,0.20412,0.19975,0.20218,44800291.1
DOGE-USD,1h,1712509200,0.20218,0.20271,0.19916,0.19985,42409177.6
DOGE-USD,1h,1712512800,0.19987,0.20008,0.19667,0.1978,27012401.1
DOGE-USD,1h,1712516400,0.19784,0.19867,0.19639,0.19691,22659384.3
DOGE-USD,1h,1712520000,0.19688,0.20019,0.19654,0.19869,21604842.9
DOGE-USD,1h,1712523600,0.19867,0.19996,0.1972,0.19727,15185627.8
DOGE-USD,1h,1712527200,0.19727,0.19849,0.19564,0.19652,23977834.4
DOGE-USD,1h,1712530800,0.19652,0.20031,0.19629,0.19884,33893151.9
DOGE-USD,1h,1712534400,0.19884,0.1989,0.19548,0.19751,24507863.9
DOGE-USD,1h,1712538000,0.19746,0.19998,0.19677,0.19782,15978339.2
DOGE-USD,1h,1712541600,0.19786,0.1988,0.19569,0.19706,15592305.3
DOGE-USD,1h,1712545200,0.19707,0.199,0.19566,0.19866,19660709.4
DOGE-USD,1h,1712548800,0.19856,0.19964,0.19688,0.19836,15090665.7
DOGE-USD,1h,1712552400,0.19836,0.20226,0.19836,0.20088,33397046.0
DOGE-USD,1h,1712556000,0.20091,0.20241,0.20013,0.20179,15758442.6
DOGE-USD,1h,1712559600,0.20178,0.20764,0.20158,0.20604,54567331.5
DOGE-USD,1h,1712563200,0.20615,0.20856,0.20526,0.20748,47712821.3
DOGE-USD,1h,1712566800,0.20748,0.20865,0.2058,0.20632,26916647.3
DOGE-USD,1h,1712570400,0.20622,0.20824,0.20521,0.20769,17348169.1
DOGE-USD,1h,1712574000,0.20779,0.2078,0.20624,0.20678,17901364.7
DOGE-USD,1h,1712577600,0.20686,0.209,0.20383,0.20422,38045806.9
DOGE-USD,1h,1712581200,0.20423,0.205,0.20237,0.20322,34991942.6
DOGE-USD,1h,1712584800,0.20326,0.20357,0.20077,0.2031,38165480.3
DOGE-USD,1h,1712588400,0.2031,0.20401,0.20165,0.20293,24922792.4
DOGE-USD,1h,1712592000,0.20288,0.20387,0.20195,0.20286,16245370.6
DOGE-USD,1h,1712595600,0.20282,0.20358,0.20182,0.20331,17500976.0
DOGE-USD,1h,1712599200,0.2033,0.20503,0.20263,0.203,27594015.0
DOGE-USD,1h,1712602800,0.203,0.20348,0.20033,0.20124,20803996.8
DOGE-USD,1h,1712606400,0.2013,0.20266,0.20073,0.20204,17428807.8
DOGE-USD,1h,1712610000,0.20205,0.20225,0.20083,0.20136,16011408.2
DOGE-USD,1h,1712613600,0.2014,0.20364,0.20118,0.20342,14354319.9
DOGE-USD,1h,1712617200,0.20342,0.20358,0.20231,0.20261,9676062.9
DOGE-USD,1h,1712620800,0.20258,0.20347,0.19919,0.20053,54618491.9
DOGE-USD,1h,1712624400,0.20053,0.20076,0.19807,0.20028,20700712.1
DOGE-USD,1h,1712628000,0.20028,0.2024,0.1998,0.201,16149153.4
