symbol,timeframe,ts,open,high,low,close,volume
SOL-USD,1h,1712286000,178.08,179.9,177.85,179.51,35494.12044351
SOL-USD,1h,1712289600,179.48,180.42,175.81,177.05,73302.84629307
SOL-USD,1h,1712293200,177.05,177.41,173.25,175.6,75413.87562963
SOL-USD,1h,1712296800,175.6,176.88,175.02,175.24,30785.11367418
SOL-USD,1h,1712300400,175.21,175.69,173.0,175.04,33110.53486526
SOL-USD,1h,1712304000,175.05,177.14,171.81,172.96,50441.17977311
SOL-USD,1h,1712307600,172.92,172.94,170.87,172.54,49890.91588194
SOL-USD,1h,1712311200,172.48,172.72,170.0,172.13,43988.88367413
SOL-USD,1h,1712314800,172.09,172.56,169.17,169.87,41782.1141082
SOL-USD,1h,1712318400,169.86,173.0,168.0,172.87,156140.34994772
SOL-USD,1h,1712322000,172.86,175.37,171.24,175.06,92906.73086582
SOL-USD,1h,1712325600,175.08,177.58,174.04,176.11,66706.55734958
SOL-USD,1h,1712329200,176.07,176.63,174.29,176.1,39185.89316174
SOL-USD,1h,1712332800,176.11,176.84,174.01,174.51,38064.92888432
SOL-USD,1h,1712336400,174.48,174.59,172.66,173.29,33848.17589505
SOL-USD,1h,1712340000,173.31,174.99,172.46,174.72,46662.69303131
SOL-USD,1h,1712343600,174.68,176.95,174.68,175.49,46026.25697874
SOL-USD,1h,1712347200,175.49,177.0,175.07,175.92,28979.87757973
SOL-USD,1h,1712350800,175.92,176.8,175.12,175.14,28360.99832151
SOL-USD,1h,1712354400,175.13,175.61,174.18,174.45,18659.41276223
SOL-USD,1h,1712358000,174.45,175.53,174.18,174.46,27474.3096885
SOL-USD,1h,1712361600,174.46,176.67,173.45,175.38,49994.47727328
SOL-USD,1h,1712365200,175.37,176.4,174.53,174.81,24043.91808176
SOL-USD,1h,1712368800,174.81,175.19,173.59,173.83,25441.2193188
SOL-USD,1h,1712372400,173.83,176.35,173.83,176.02,23270.12967797
SOL-USD,1h,1712376000,176.0,176.14,174.67,175.76,20095.16675345
SOL-USD,1h,1712379600,175.78,178.27,175.52,177.55,24356.48640485
SOL-USD,1h,1712383200,177.58,178.13,177.06,177.91,14649.61100125
SOL-USD,1h,1712386800,177.87,177.93,176.72,177.32,18021.90453338
SOL-USD,1h,1712390400,177.32,178.09,176.55,178.03,22954.92486187
SOL-USD,1h,1712394000,178.02,178.48,176.13,176.2,15628.67498673
SOL-USD,1h,1712397600,176.24,176.82,175.41,176.22,11771.27234155
SOL-USD,1h,1712401200,176.21,176.49,175.36,175.77,13415.36751882
SOL-USD,1h,1712404800,175.79,176.21,174.6,175.1,15740.61474058
SOL-USD,1h,1712408400,175.11,175.11,173.83,174.18,16966.96821671
SOL-USD,1h,1712412000,174.19,175.99,173.95,175.2,21740.07121182
SOL-USD,1h,1712415600,175.24,177.41,174.92,177.23,22370.95352789
SOL-USD,1h,1712419200,177.22,179.0,176.71,177.71,36307.12511063
SOL-USD,1h,1712422800,177.72,178.46,176.69,177.53,21748.60446535
SOL-USD,1h,1712426400,177.54,177.94,177.0,177.21,17657.33925911
SOL-USD,1h,1712430000,177.18,177.85,176.83,177.41,25740.51018339
SOL-USD,1h,1712433600,177.41,178.0,176.77,177.91,15773.37025341
SOL-USD,1h,1712437200,177.91,178.68,176.97,177.78,23662.67459496
SOL-USD,1h,1712440800,177.77,178.71,177.16,178.63,46380.22522957
SOL-USD,1h,1712444400,178.6,179.87,178.56,178.73,55698.06080135
SOL-USD,1h,1712448000,178.71,179.02,177.34,178.1,23806.01597408
SOL-USD,1h,1712451600,178.11,182.4,178.02,182.31,76241.1756029
SOL-USD,1h,1712455200,182.34,182.73,180.51,180.9,47854.94200636
SOL-USD,1h,1712458800,180.91,181.88,180.6,180.76,27746.6767622
SOL-USD,1h,1712462400,180.76,181.25,180.08,180.58,24482.31244899
SOL-USD,1h,1712466000,180.56,181.57,179.46,181.1,36474.89470292
SOL-USD,1h,1712469600,181.09,181.18,179.21,179.65,25898.80083212
SOL-USD,1h,1712473200,179.61,180.08,179.44,179.8,15872.17032541
SOL-USD,1h,1712476800,179.8,180.81,179.79,180.24,16810.02907625
SOL-USD,1h,1712480400,180.24,180.28,178.7,179.37,15814.77180999
