symbol,timeframe,ts,open,high,low,close,volume
XRP-USD,1h,1712286000,0.5824,0.5884,0.582,0.5881,2333698.379376
XRP-USD,1h,1712289600,0.5881,0.5882,0.5824,0.5851,2004846.390458
XRP-USD,1h,1712293200,0.585,0.586,0.5763,0.5803,5472081.11767
XRP-USD,1h,1712296800,0.5803,0.583,0.5779,0.5827,3012888.230762
XRP-USD,1h,1712300400,0.5826,0.5836,0.5793,0.5817,2199032.230293
XRP-USD,1h,1712304000,0.5817,0.5877,0.5809,0.5827,2722481.838887
XRP-USD,1h,1712307600,0.5827,0.5827,0.5732,0.5774,3320561.76597
XRP-USD,1h,1712311200,0.5774,0.5784,0.5728,0.578,1807734.48179
XRP-USD,1h,1712314800,0.578,0.579,0.5719,0.5723,2066458.670965
XRP-USD,1h,1712318400,0.5724,0.577,0.5689,0.5765,3951930.553206
XRP-USD,1h,1712322000,0.5765,0.5793,0.574,0.5781,2760438.800037
XRP-USD,1h,1712325600,0.578,0.5833,0.5768,0.5819,2547955.59437
XRP-USD,1h,1712329200,0.5819,0.5838,0.5802,0.5835,2365316.2558
XRP-USD,1h,1712332800,0.5833,0.5855,0.5807,0.5847,3433162.465947
XRP-USD,1h,1712336400,0.5848,0.5857,0.583,0.5843,2561045.401161
XRP-USD,1h,1712340000,0.5843,0.5879,0.5839,0.5872,1748099.849339
XRP-USD,1h,1712343600,0.5872,0.5912,0.5872,0.5888,2326868.486533
XRP-USD,1h,1712347200,0.5888,0.5915,0.5876,0.5904,1983123.197925
XRP-USD,1h,1712350800,0.5904,0.5911,0.5867,0.5884,2131529.290017
XRP-USD,1h,1712354400,0.5883,0.5891,0.5866,0.5869,1114227.906548
XRP-USD,1h,1712358000,0.587,0.589,0.5869,0.5872,1775204.115974
XRP-USD,1h,1712361600,0.5873,0.5891,0.5856,0.5882,1373208.79121
XRP-USD,1h,1712365200,0.5884,0.5901,0.5872,0.5886,1103825.432978
XRP-USD,1h,1712368800,0.5887,0.5912,0.5877,0.5894,1213889.544173
XRP-USD,1h,1712372400,0.5894,0.5913,0.5885,0.5894,1138022.372041
XRP-USD,1h,1712376000,0.5895,0.5917,0.5894,0.5915,615831.966497
XRP-USD,1h,1712379600,0.5915,0.5924,0.5896,0.5906,1414133.159411
XRP-USD,1h,1712383200,0.5907,0.5915,0.5891,0.5911,1051751.029967
XRP-USD,1h,1712386800,0.591,0.5912,0.5896,0.5902,420411.603093
